"dt_mes","id_cuenta_contable","id_entidad_contable","id_epigrafe_phc"
"20260331","15400156","3081","10201"
"20260331","15400255","3081","10201"
"20260331","15400355","3081","10201"
"20260331","15400356","3081","10201"
"20260331","15400455","3081","10201"
"20260331","15400504","3081","10201"
"20260331","15400515","3081","10201"
"20260331","15400543","3081","10201"
"20260331","15400553","3081","10201"
"20260331","15400554","3081","10201"
"20260331","15400555","3081","10201"
"20260331","15400556","3081","10201"
"20260331","15400655","3081","10201"
"20260331","15400855","3081","10201"
"20260331","15400856","3081","10201"
"20260331","15401153","3081","10201"
"20260331","15401155","3081","10201"
"20260331","15401156","3081","10201"
"20260331","15401355","3081","10201"
"20260331","15401455","3081","10201"
"20260331","15401553","3081","10201"
"20260331","15401554","3081","10201"
"20260331","15401555","3081","10201"
"20260331","15401556","3081","10201"
"20260331","15401855","3081","10201"
"20260331","15402153","3081","10201"
"20260331","15402155","3081","10201"
"20260331","15402156","3081","10201"
"20260331","15402553","3081","10201"
"20260331","15402554","3081","10201"
"20260331","15402555","3081","10201"
"20260331","15402556","3081","10201"
"20260331","15402855","3081","10201"
"20260331","15403115","3081","10201"
"20260331","15403153","3081","10201"
"20260331","15403155","3081","10201"
"20260331","15403156","3081","10201"
"20260331","15403553","3081","10201"
"20260331","15403555","3081","10201"
"20260331","15403556","3081","10201"
"20260331","15403855","3081","10201"
"20260331","15404153","3081","10201"
"20260331","15404155","3081","10201"
"20260331","15404156","3081","10201"
"20260331","15404255","3081","10201"
"20260331","15404355","3081","10201"
"20260331","15404553","3081","10201"
"20260331","15404555","3081","10201"
"20260331","15404556","3081","10201"
"20260331","15405153","3081","10201"
"20260331","15405155","3081","10201"
"20260331","15405156","3081","10201"
"20260331","15405455","3081","10201"
"20260331","15405553","3081","10201"
"20260331","15405554","3081","10201"
"20260331","15405555","3081","10201"
"20260331","15405556","3081","10201"
"20260331","15405755","3081","10201"
"20260331","15405855","3081","10201"
"20260331","15406153","3081","10201"
"20260331","15406155","3081","10201"
"20260331","15406156","3081","10201"
"20260331","15406553","3081","10201"
"20260331","15406555","3081","10201"
"20260331","15406556","3081","10201"
"20260331","15407153","3081","10201"
"20260331","15407155","3081","10201"
"20260331","15407156","3081","10201"
"20260331","15407355","3081","10201"
"20260331","15407553","3081","10201"
"20260331","15407555","3081","10201"
"20260331","15407556","3081","10201"
"20260331","15408153","3081","10201"
"20260331","15408155","3081","10201"
"20260331","15408156","3081","10201"
"20260331","15408455","3081","10201"
"20260331","15408553","3081","10201"
"20260331","15408554","3081","10201"
"20260331","15408555","3081","10201"
"20260331","15408556","3081","10201"
"20260331","15408755","3081","10201"
"20260331","15408855","3081","10201"
"20260331","15409153","3081","10201"
"20260331","15409155","3081","10201"
"20260331","15409156","3081","10201"
"20260331","15409553","3081","10201"
"20260331","15409555","3081","10201"
"20260331","15409556","3081","10201"
"20260331","15410153","3081","10201"
"20260331","15410155","3081","10201"
"20260331","15410156","3081","10201"
"20260331","15410553","3081","10201"
"20260331","15410555","3081","10201"
"20260331","15410556","3081","10201"
"20260331","15411153","3081","10201"
"20260331","15411155","3081","10201"
"20260331","15411156","3081","10201"
"20260331","15411455","3081","10201"
"20260331","15411553","3081","10201"
"20260331","15411554","3081","10201"
"20260331","15411555","3081","10201"
"20260331","15411556","3081","10201"
"20260331","15411755","3081","10201"
"20260331","15411855","3081","10201"
"20260331","15412115","3081","10201"
"20260331","15412153","3081","10201"
"20260331","15412155","3081","10201"
"20260331","15412156","3081","10201"
"20260331","15412255","3081","10201"
"20260331","15412455","3081","10201"
"20260331","15412515","3081","10201"
"20260331","15412543","3081","10201"
"20260331","15412553","3081","10201"
"20260331","15412554","3081","10201"
"20260331","15412555","3081","10201"
"20260331","15412556","3081","10201"
"20260331","15412655","3081","10201"
"20260331","15412855","3081","10201"
"20260331","15450115","3081","10202"
"20260331","15450143","3081","10202"
"20260331","15450149","3081","10202"
"20260331","15450153","3081","10202"
"20260331","15450154","3081","10202"
"20260331","15450155","3081","10202"
"20260331","15450156","3081","10202"
"20260331","15450255","3081","10202"
"20260331","15450355","3081","10202"
"20260331","15450356","3081","10202"
"20260331","15450455","3081","10202"
"20260331","15450504","3081","10202"
